title,format,start_year,episodes,duration,runtime,genres,mean_score,popularity
#Compass 2.0－Sentou Setsuri Kaiseki System,TV,2025,12,24,288,Action- Sci-Fi,51,4558
#Kanagawa ni Sunderu Elf,TV_SHORT,2025,12,4,48,Comedy- Fantasy- Slice of Life,44,723
#KSWISS_ALLWHITE PROJECT: WHITE FANTASY,SPECIAL,2014,1,2,2,Fantasy- Sports,53,677
.hack//G.U. Returner,OVA,2007,1,24,24,Adventure- Drama- Fantasy- Sci-Fi,63,4010
.hack//G.U. Trilogy,MOVIE,2008,1,93,93,Action- Fantasy- Sci-Fi,67,5873
.hack//G.U. Trilogy: Parody Mode,SPECIAL,2008,1,6,6,Comedy- Fantasy- Sci-Fi,58,2018
.hack//GIFT,OVA,2003,1,26,26,Comedy- Fantasy,55,3894
.hack//INTERMEZZO,SPECIAL,2003,1,24,24,Adventure- Fantasy- Mystery- Sci-Fi,61,4945
.hack//Quantum: Kantamu Eizou Tokuten Sore Ike! Bokura no Chim Chim-chan!!,SPECIAL,2011,3,3,9,Comedy,59,1840
.hack//Tasogare no Udewa Densetsu - Offline de Aimashou,SPECIAL,2003,1,20,20,Adventure- Comedy- Fantasy- Sci-Fi,56,2351
.hack//The Movie: Sekai no Mukou ni,MOVIE,2012,1,110,110,Action- Adventure- Fantasy- Mystery,68,4113
.hack//Unison,SPECIAL,2003,1,24,24,Adventure- Comedy- Fantasy- Sci-Fi,63,5264
.hack//Versus: The Thanatos Report,SPECIAL,2012,1,21,21,Action- Sci-Fi,59,1790
_summer,OVA,2006,2,25,50,Drama- Romance,51,2685
○○ sae Ireba Ii.,ONA,2017,6,2,12,Comedy- Slice of Life,63,5309
○○ sae Ireba Ii. Specials,SPECIAL,2018,2,2,4,Comedy- Slice of Life,62,2188
♪D4DJ Petit Mix,TV_SHORT,2021,26,3,78,Comedy- Music- Slice of Life,68,3598
0 Hao Sushe,ONA,2018,14,15,210,Comedy,53,79
001,ONA,2013,1,1,1,Comedy,30,5485
009 RE:CYBORG,MOVIE,2012,1,103,103,Action- Adventure- Mecha- Sci-Fi,60,5642
009-1,TV,2006,12,25,300,Action- Mecha- Sci-Fi,59,5425
009-1 Special,SPECIAL,2007,1,25,25,Drama- Music- Sci-Fi,59,1477
0-saiji Start Dash Monogatari,TV_SHORT,2024,12,3,36,Fantasy,48,4558
0-saiji Start Dash Monogatari Season 2,TV_SHORT,2025,12,4,48,Fantasy,53,1617
1 Cho,TV_SHORT,2024,13,11,143,Action- Drama,52,379
1+2=Paradise,OVA,1990,2,30,60,Comedy- Ecchi,42,3257
100%,OVA,1990,1,53,53,Drama,37,397
100% Pascal-sensei,ONA,2016,6,4,24,Comedy,49,77
100% Pascal-sensei (TV Short),TV_SHORT,2017,36,13,468,Comedy,55,1012
1000-nen Joou: Queen Millennia,MOVIE,1982,1,121,121,Adventure- Drama- Fantasy- Sci-Fi,68,2053
100-mannen Chikyuu no Tabi: Bander Book,SPECIAL,1978,1,94,94,Action- Adventure- Comedy- Sci-Fi,62,754
100-Nichikan Ikita Wani,MOVIE,2021,1,63,63,Drama- Slice of Life,59,956
11 Piki no Neko,MOVIE,1980,1,83,83,Fantasy,67,533
11 Piki no Neko to Ahoudori,MOVIE,1986,1,90,90,Fantasy,63,320
11eyes Picture Drama,SPECIAL,2010,13,4,52,Comedy,45,881
11-nin Iru!,MOVIE,1986,1,91,91,Action- Adventure- Drama- Mystery- Romance- Sci-Fi,68,5114
12 Senshi Bakuretsu Eto Ranger,TV,1995,39,25,975,Action- Comedy,66,794
12 Zhi Wenzi He 5 Ge Ren,MOVIE,1992,1,6,6,Comedy,36,86
15 Bishoujo Hyouryuuki,OVA,2009,3,26,78,Comedy- Hentai- Romance,63,4558
15 Sonyeon Uju Pyoryugi,MOVIE,1980,1,70,70,Action- Sci-Fi,40,213
15th Anniversary Short Animation: Battle Spirits Shounen Toppa Bashin x Saikyou Ginga Ultimate Zero Battle Spirits,ONA,2023,1,5,5,Action- Fantasy- Sci-Fi,55,120
19 Tian,ONA,2019,60,1,60,Comedy,64,796
1-gatsu ni wa Christmas,OVA,1991,1,46,46,Drama- Romance- Slice of Life,50,1284
1-Pound no Fukuin,OVA,1988,1,50,50,Comedy- Romance- Sports,62,2940
"1-punkan dake Furete mo Ii yo… Share House no Himitsu Rule.	",ONA,2025,8,7,56,Drama- Hentai,57,1492
21 Emon,TV,1991,39,20,780,Adventure- Comedy- Sci-Fi,70,517
21 Emon Uchuu e Irasshai!,MOVIE,1981,1,92,92,Action- Adventure- Sci-Fi,60,369
21 Seiki Manga Hajimete Monogatari,SPECIAL,2001,1,30,30,Adventure- Comedy- Sci-Fi,45,183
2200-nen Neko no Kuni Nippon,TV_SHORT,2025,12,3,36,Comedy- Sci-Fi- Slice of Life,52,1083
3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!,MOVIE,1993,1,43,43,Adventure,56,383
3 Choume no Tama: Uchi no Tama Shirimasenka? 2,TV,1994,26,23,598,Adventure,66,800
3 Iron Musketeers,MOVIE,1983,1,70,70,Action- Mecha- Sci-Fi,38,180
30-sai made Doutei da to Mahou Tsukai ni Nareru Rashii: Tokubetsu-hen,MOVIE,2024,1,60,60,Comedy- Romance- Slice of Life- Supernatural,73,4105
3D Atashinchi: Jounetsu no Chou Chounouryoku♪Haha Dai Bousou!,MOVIE,2010,1,40,40,Comedy,63,396
3D Nyanko-sensei Gekijou,SPECIAL,2009,5,1,5,Comedy,41,1999
3-gatsu no Lion: Ugoku! Nya Shogi,SPECIAL,2017,10,4,40,Comedy,55,865
3-nen D-gumi Glass no Kamen,TV_SHORT,2016,13,4,52,Comedy,41,909
3Ping Lovers!☆Ippu Nisai no Sekai e Youkoso♪ THE ANIMATION,OVA,2015,1,32,32,Action- Adventure- Fantasy- Hentai- Romance,65,3605
3tsu no Kumo,MOVIE,2005,3,4,12,Fantasy- Psychological,41,636
3x3 EYES,OVA,1991,4,30,120,Action- Fantasy- Horror- Romance,62,6878
